subject_id,recording_id,date,metric,value,unit,source,provenance
p000001,p000001_hour0,2024-01-01,icu_los_hours,1.000,hours,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour0,2024-01-01,sepsis_label,0,binary,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour1,2024-01-02,heart_rate,97.000,bpm,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour1,2024-01-02,spo2,95.000,%,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour1,2024-01-02,sbp,98.000,mmHg,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour1,2024-01-02,map,75.330,mmHg,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour1,2024-01-02,resp_rate,19.000,breaths/min,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour1,2024-01-02,icu_los_hours,2.000,hours,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour1,2024-01-02,sepsis_label,0,binary,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour2,2024-01-03,heart_rate,89.000,bpm,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour2,2024-01-03,spo2,99.000,%,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour2,2024-01-03,sbp,122.000,mmHg,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour2,2024-01-03,map,86.000,mmHg,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour2,2024-01-03,resp_rate,22.000,breaths/min,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour2,2024-01-03,icu_los_hours,3.000,hours,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour2,2024-01-03,sepsis_label,0,binary,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour3,2024-01-04,heart_rate,90.000,bpm,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour3,2024-01-04,spo2,95.000,%,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour3,2024-01-04,resp_rate,30.000,breaths/min,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour3,2024-01-04,icu_los_hours,4.000,hours,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour3,2024-01-04,sepsis_label,0,binary,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour4,2024-01-05,heart_rate,103.000,bpm,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour4,2024-01-05,spo2,88.500,%,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour4,2024-01-05,sbp,122.000,mmHg,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour4,2024-01-05,map,91.330,mmHg,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour4,2024-01-05,resp_rate,24.500,breaths/min,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour4,2024-01-05,icu_los_hours,5.000,hours,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour4,2024-01-05,sepsis_label,0,binary,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour5,2024-01-06,heart_rate,110.000,bpm,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour5,2024-01-06,spo2,91.000,%,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour5,2024-01-06,resp_rate,22.000,breaths/min,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
p000001,p000001_hour5,2024-01-06,icu_los_hours,6.000,hours,physionet_sepsis_challenge2019_training_setA,"{""success"":true,""url"":""https://physionet.org/files/challenge-2019/1.0.0/training/training_setA/p000001.psv"",""http_status"":200,""retrieved_at"":""2026-09-25T13:48:54.228817+00:00"",""content_sha256"":""63f11ce1bf106141297aa1df4afc25ad30dfb0332ba8ae25dc72669f92fbc680"",""row_count"":6,""error"":null,""patient_id"":""p000001"",""training_set"":""training_setA""}"
