day_index,resting_hr,hrv_rmssd,sleep_hours,activity_load
0,66.2,44.7,7.1,37.2
1,69.6,44.3,7.2,41.6
2,69.4,45.3,7.0,41.7
3,67.0,44.0,7.1,36.8
4,68.4,44.6,7.0,44.0
5,69.6,44.7,6.8,50.8
6,66.1,51.3,7.3,40.3
7,69.4,50.2,7.0,51.0
8,66.8,48.9,7.2,51.2
9,67.3,47.2,7.5,45.3
10,68.7,49.1,7.4,52.8
11,67.9,49.3,7.1,35.6
12,69.0,45.5,7.5,53.3
13,68.6,45.4,7.0,42.8
14,66.3,47.7,7.3,41.7
15,66.8,44.7,7.3,35.3
16,67.4,45.8,7.2,49.5
17,69.6,49.1,7.7,54.3
18,68.5,45.9,7.2,38.6
19,70.0,47.6,7.5,35.9
20,75.5,31.5,4.0,82.0
21,76.1,33.5,4.1,77.2
22,66.3,46.8,6.8,43.7
23,66.0,48.3,6.8,48.9
24,67.6,51.9,7.0,44.5
25,69.0,46.7,7.0,47.8
26,69.9,51.1,7.1,49.4
27,68.7,47.0,6.9,36.6
28,69.5,44.5,7.2,45.8
29,66.6,49.2,7.6,50.5
30,67.6,45.0,7.7,45.3
31,68.5,50.4,7.1,36.2
32,66.5,49.3,7.0,52.4
33,69.0,51.8,7.4,41.1
34,69.2,44.2,7.2,52.4
35,77.1,31.1,4.2,85.9
36,67.5,51.1,7.0,40.4
37,68.0,45.6,7.0,43.0
38,69.8,44.6,6.9,39.0
39,70.0,51.1,6.9,46.3
40,66.3,46.5,7.0,45.8
41,69.7,50.5,7.2,50.7
42,67.9,49.8,7.5,40.1
43,69.3,48.6,7.2,42.9
44,66.9,48.0,6.8,47.7
45,69.6,50.3,7.3,44.9
46,68.8,45.0,6.8,52.2
47,76.4,35.4,4.1,82.2
48,78.1,32.7,4.5,91.4
49,66.7,51.8,6.8,43.3
50,68.0,50.6,6.9,46.2
51,67.5,51.4,6.8,40.3
52,69.3,46.6,7.6,36.0
53,67.6,44.9,7.3,54.3
54,67.3,49.2,7.0,43.8
55,68.3,46.0,7.4,45.0
56,69.6,46.2,7.7,38.6
57,66.1,49.3,7.4,44.5
58,66.2,52.0,6.8,52.4
59,69.6,45.8,7.6,44.3
